Local time,Open,High,Low,Close,Volume
21.10.2004 05:00:00.000 GMT+0800,108.176,108.395,107.325,107.450,623093994140.625
22.10.2004 05:00:00.000 GMT+0800,107.448,107.738,107.147,107.226,622070499023.4375
23.10.2004 05:00:00.000 GMT+0800,107.226,107.226,107.226,107.226,0
24.10.2004 05:00:00.000 GMT+0800,107.226,107.226,107.226,107.226,0
25.10.2004 05:00:00.000 GMT+0800,107.208,107.372,106.217,106.708,623663903320.3125
26.10.2004 05:00:00.000 GMT+0800,106.713,106.994,106.400,106.684,628020493164.0625
27.10.2004 05:00:00.000 GMT+0800,106.690,107.124,106.222,106.409,623096302734.375
28.10.2004 05:00:00.000 GMT+0800,106.441,106.915,105.905,106.264,630230402343.75
29.10.2004 05:00:00.000 GMT+0800,106.248,106.363,105.763,105.767,617230205078.125
30.10.2004 05:00:00.000 GMT+0800,105.767,105.767,105.767,105.767,0
31.10.2004 05:00:00.000 GMT+0800,105.767,105.767,105.767,105.767,0
01.11.2004 06:00:00.000 GMT+0800,105.905,106.559,105.725,106.428,622797297851.5625
02.11.2004 06:00:00.000 GMT+0800,106.422,106.729,106.002,106.037,626647796875
03.11.2004 06:00:00.000 GMT+0800,106.019,106.877,105.920,106.208,615337893554.6875
04.11.2004 06:00:00.000 GMT+0800,106.228,106.487,105.715,106.002,622584797851.5625
05.11.2004 06:00:00.000 GMT+0800,106.007,106.598,105.504,105.547,626419406250
06.11.2004 06:00:00.000 GMT+0800,105.547,105.547,105.547,105.547,0
07.11.2004 06:00:00.000 GMT+0800,105.547,105.547,105.547,105.547,0
08.11.2004 06:00:00.000 GMT+0800,105.359,105.758,105.265,105.459,624595200195.3125
09.11.2004 06:00:00.000 GMT+0800,105.449,105.918,105.418,105.648,624124494140.625
10.11.2004 06:00:00.000 GMT+0800,105.657,107.277,105.609,107.117,616100194335.9375
